product_code,name,counted_litres,ledger_at_cutoff,system_now,moved_since_cutoff,moved_on_count_day,new_balance,change,tech_cleared,sheet_said_system_had
"FRAG_0076","Inspiration - NEW HOPE",18,18000,18000,0,,18000,0,0,18000
"FRAG_0077","Intense Air",85,84750,84725,-25,yes,84975,250,1000,84750
"FRAG_0078","Jardin de Carthage",166,256600,241900,-14700,yes,151300,-90600,20000,244900
"FRAG_0079","JM Jasmin & Mint",0,0,0,0,,0,0,0,0
"FRAG_0080","Japanese Honeysuckle",7,7000,7000,0,,7000,0,0,7000
"FRAG_0081","Jasmine Sambac & Marigold",9,8800,8800,0,,9000,200,0,8800
"FRAG_0082","JPG Le Beau",1,1000,1000,0,,1000,0,0,1000
"FRAG_0083","Zen Garden",0,3250,94350,91100,yes,91100,-3250,13000,1700
"FRAG_0084","Kookai Signature",80,91750,90750,-1000,,79000,-11750,0,91450
"FRAG_0085","Kiwi Coconut Vanilla",25,30500,30500,0,,25000,-5500,0,33500
"FRAG_0086","London (BLUE DRUM -Bell)",0,2600,2600,0,,0,-2600,0,2600
"FRAG_0087","La Vie Est Belle",17,16700,16700,0,,17000,300,0,16700
"FRAG_0088","Lotus Zen",29,26000,28900,2900,,31900,3000,0,28900
"FRAG_0089","Lacoste Original",21,24000,24000,0,,21000,-3000,0,23300
"FRAG_0090","Leather & Woods",30,29550,29550,0,,30000,450,0,30550
"FRAG_0091","Lemongrass and Persian Lime",14,14300,14300,0,,14000,-300,0,14300
"FRAG_0092","Light Blue",37,36800,36800,0,,37000,200,0,16800
"FRAG_0093","Lemongrass and Ginger",30,30800,29400,-1400,,28600,-800,0,32200
"FRAG_0094","Myrrh & Tonka",126,172500,261500,89000,yes,215000,-46500,14000,169000
"FRAG_0095","Mahogany Fig",60,65100,64100,-1000,,59000,-5100,0,64100
"FRAG_0096","Mahogany Wood",73,70400,69400,-1000,,72000,2600,0,69400
"FRAG_0097","Milagrito",85,128800,217100,88300,yes,173300,-43800,18000,145750
