STOCK TAKE TRANSCRIPTION
Source: Adobe Scan 28 Aug 2026.pdf
Total items transcribed: 168

Columns: Name | Aliases | Current Stock | Stock on Hand | Supplier Code
097. Milagrito | - | 145,750 | 85 | LUX0710
098. Matiere Noire | - | 20,000 | 20 | FH20376949
099. Miami Strong | Miami | 31,750 | 190 | FIA222066
100. Moonlight Patchouli | - | 6,000 | 6 | FIA250555
101. Miami Woods | Harli + Harpa Signature | -6,800 | 121 | FIA242633
102. Noel | Christmas, Noel Noel | 47,000 | 45 | FIA250025
103. New Hope | - | 31,000 | 37 | FIA223464
104. Native B | - | 34,600 | 35.5 | FIA223766
105. Noir | La Labo The Noir, The Noir, The Noir 29 | 49,400 | 50 | FIA213480
106. New CBD Perth d3 | CBD Perth D 3, New CBD Perth D3 | 25,000 | 30 | FIA251440
107. Orange & Bergamot | - | 17,000 | 17.5 | LUX0598
108. Oz Design Signature | - | 25,500 | 26 | LUX1726
109. Orange Grass | - | 9,000 | 10 | SFA1578
110. Orchidee Narco | - | 23,100 | 26 | LUX1129
111. Orange B | Citrus B3 | 21,000 | 20 | FIA231256
112. Oud | - | 35,700 | 37 | FIA250823
113. Premiere | - | 56,100 | 57 | SLC2486
114. Park Hyatt Peony (Hyatt Peony) | Hyatt Peony, Park Hyatt Peony | 63,000 | 63 | WO0031095 (29234)
115. Patisserie | Sweet Vanilla Patisserie | 149,850 | 138 | LUX696
116. Peppermint | - | 11,200 | 11 | LUX0774
117. Pepperwood | - | 191,350 | 170 | FIA223424
118. Porsche | - | 5,900 | 6 | FIA232165
119. Quercers | Royal | 202,700 | 170 | LUX0736
120. Rosemary & Cinnamon Blend | - | 3,500 | 0 | EBSAMRC2A
121. Rosewater | - | 5,000 | 4 | SLC2644
122. Rainstorm | - | 4,600 | 5 | -
123. Resurrection (Essential Oil) | - | 7,500 | 15 | FIA243524
124. Rose Diptyque | - | 17,000 | 15 | FIA231309
125. Review | - | 13,000 | 0 | FIA241706
126. Rock N Roll | - | 21,200 | 24 | LUX0906A
127. Rottnest Island Summertime B | - | 7,000 | 12 | FIA241283
128. Summer Vacay | - | 13,800 | 14 | FIA241782
129. Saffron | Eastern | 20,622 | 18 | FIA260780
130. Special Santal | Mondrian (Supplier: AE Air Essentials U | 28,000 | 28 | SLC2775 or Special
131. Sea Salt | - | 8,000 | 10 | -
132. Signature | Signature | 19,000 | 32 | FIA260650
133. Sugar Cookie | - | 12,300 | 12 | LUX13933
134. Sensual Woods | - | 153,300 | 138 | Lux864
135. Santal 33 Style A (Black) | Santal 66 (Black), Santal BLACK | 134,450 | 299 | FIA211503
136. Santal 66 (Blue) - KIRRI | Santal 66 Blue, Santal Blue | 1,300 | 0 | 6132781
137. Serpentine Comme Des | Serpentine | 45,100 | 44 | FIA221947
138. Santal and White Tea | - | 50,750 | 67 | FIA241193
139. Sandalwood B | - | 131,150 | 132 | FIA231155
140. Santal, Mahogany & Sandalwood | - | 2,000 | 5 | FIA241192
141. Santal, Mahogany & Soft Floral | - | 1,000 | 0 | FIA252221
142. Sandalwood Fig & Jasmine | - | 3,000 | 3 | FIA243579
143. Sandalwood & Hint of Jasmin | - | 19,000 | 25 | FIA243577
144. TF Ambitious | Ambitious, Tom Ford | 5,600 | 5 | LUX 750
145. The Rouge | The Rogue | 5,600 | 9 | SFA1416
146. Teak & Neroli | Neroli | 6,400 | 6 | -
147. The Blanc | - | 17,000 | 15 | Lux628
148. Tabac Noir | - | 29,300 | 29 | SFA1375
149. Tropical Cruise | - | 26,000 | 20 | SFA1209
150. Tea Time | - | 8,000 | 8 | SLC2631
151. The Star Azure | - | 1,000 | 2 | FIA250835
152. Tuberose Vanille | - | 19,000 | 20 | FIA241278
153. The Star Lobby | - | 10,000 | 10 | FIA250836
154. Terre | Gold Clementine | 25,200 | 30 | FIA250461
155. Ultimate Leather | - | 5,000 | 7 | SFA1227
156. Vetiver, Water Lily + Sandalwood | Ashley | 17,000 | 37 | FIA230295
157. Vetiver D'Hiver | - | 20,850 | 15 | FIA221547
158. French Vanilla (Vanilla Bourbon) | French Vanilla | 26,200 | 40 | LUX0637
159. White Tea | - | 183,950 | 140 | LUX0593
160. White Tea & Ginger Flowers | WTGF | 94,285 | 94 | SLC1564
161. Wild Lily & Spring Moss | Starlight Lily | 17,200 | 10 | LUX1234
162. W Hotel | - | 31,700 | 31 | LUX29228
163. Waterplants | Plants D'eau, Plants D'eau Waterplants | 15,200 | 10 | LUX0737
164. Waterfall | - | 107,700 | 107 | LUX0637
165. Whiskey Bar | - | 9,050 | 8 | FIA213959
166. White Tea & Bamboo | - | 45,400 | 60 | FIA242839
167. Wonderwood | - | 10,000 | 10 | FIA222036
168. ZWT | Zetsty | 27,000 | 27 | FIA223912
