line,sheet_name,match,product_code,db_name,db_unit,sheet_says_system_has,db_actually_has,counted_as_written,supplier_code
061,"Floral Drop","supplier code","FRAG_0061","Floral Drop ","mL",29250,29250,38.5,"FIA250658"
062,"Green","name","FRAG_0062","Green","mL",1000,1000,3,"-"
063,"Green Tea","supplier code","FRAG_0063","Green Tea","mL",29000,29600,29,"Lux0748"
064,"Green Tea and Lemongrass","supplier code","FRAG_0064","Green Tea and Lemongrass","mL",14000,14700,14,"LUX13377"
065,"Ginger Flower","supplier code","FRAG_0065","Ginger Flower","mL",98000,98000,77,"LUX0362"
066,"Givenchy Gentlemen","supplier code","FRAG_0066","Givenchy Gentlemen ","mL",15000,15000,15,"FIA222191"
067,"Gingerbread A","supplier code","FRAG_0067","Gingerbread A","mL",2000,2000,2,"FIA252391"
068,"Gypsy Water","supplier code","FRAG_0068","Gypsy Water","mL",10000,30000,30,"FIA213584"
069,"Grape Chupa Chup","supplier code","FRAG_0069","Grape Chupa Chup","mL",99150,101550,85,"FIA222907"
070,"Garden Symphony","supplier code","FRAG_0070","Garden Symphony","mL",1000,1000,1,"FIA241471"
071,"Golden Garden","supplier code","FRAG_0071","Golden Garden","mL",28100,28100,26,"FIA250769"
072,"Grey Vetiver","name","FRAG_0072","Grey Vetiver","mL",1800,1800,1,"-"
073,"Hermes Country","supplier code","FRAG_0073","Hermes Country","mL",20000,20000,17.5,"SFA1683"
074,"Home Department","supplier code","FRAG_0074","Home Department","mL",7000,7000,7,"FIA250611"
075,"Isopropyl Myristate (IPM)","supplier code","FRAG_0075","Isopropyl Myristate (IPM)","mL",71350,71320,73,"FIA251436"
076,"Inspiration - NEW HOPE","supplier code","FRAG_0076","Inspiration - NEW HOPE","mL",18000,18000,18,"SFA1226/2"
077,"Intense Air","supplier code","FRAG_0077","Intense Air","mL",84750,84725,85,"FIA250553"
078,"Jardin de Carthage","supplier code","FRAG_0078","Jardin de Carthage","mL",244900,241900,166,"Lux0639"
079,"JM Jasmin & Mint","supplier code","FRAG_0079","JM Jasmin & Mint","mL",0,0,0,"SFA1367"
080,"Japanese Honeysuckle","name","FRAG_0080","Japanese Honeysuckle","mL",7000,7000,7,"-"
081,"Jasmine Sambac & Marigold","supplier code","FRAG_0081","Jasmine Sambac & Marigold","mL",8800,8800,9,"LUX1027"
082,"JPG Le Beau","supplier code","FRAG_0082","JPG Le Beau","mL",1000,1000,1,"FIA250842"
083,"Zen Garden","supplier code","FRAG_0083","Zen Garden","mL",1700,95750,0,"LUX0928"
084,"Kookai Signature","supplier code","FRAG_0084","Kookai Signature","mL",91450,90750,80,"FIA250770"
085,"Kiwi Coconut Vanilla","supplier code","FRAG_0085","Kiwi Coconut Vanilla","mL",33500,30500,25,"FIA230965"
086,"London (BLUE DRUM -Bell)","supplier code","FRAG_0086","London (BLUE DRUM -Bell)","mL",2600,2600,0,"6132618"
087,"La Vie Est Belle","supplier code","FRAG_0087","La Vie Est Belle","mL",16700,16700,17,"FH20376936"
088,"Lotus Zen","supplier code","FRAG_0088","Lotus Zen","mL",28900,28900,29,"LUX1335"
089,"Lacoste Original","supplier code","FRAG_0089","Lacoste Original","mL",23300,24000,21,"SLC3015"
090,"Leather & Woods","supplier code","FRAG_0090","Leather & Woods","mL",30550,29550,30,"FIA230899"
091,"Lemongrass and Persian Lime","name","FRAG_0091","Lemongrass and Persian Lime","mL",14300,14300,14,"-"
092,"Light Blue","supplier code","FRAG_0092","Light Blue","mL",16800,36800,37,"FIA250554"
093,"Lemongrass and Ginger","supplier code","FRAG_0093","Lemongrass and Ginger","mL",32200,29400,30,"FIA242434"
094,"Myrrh & Tonka","supplier code","FRAG_0094","Myrrh & Tonka","mL",169000,261500,126,"LUX1423"
095,"Mahogany Fig","supplier code","FRAG_0095","Mahogany Fig","mL",64100,64100,60,"LUX1281"
096,"Mahogany Wood","supplier code + name","FRAG_0096","Mahogany Wood","mL",69400,69400,73,"LUX0710"
097,"Milagrito","supplier code + name","FRAG_0097","Milagrito","mL",145750,217100,85,"LUX0710"
098,"Matiere Noire","supplier code","FRAG_0098","Matiere Noire","mL",20000,20000,20,"FH20376949"
099,"Miami Strong","supplier code","FRAG_0099","Miami Strong","mL",31750,152350,190,"FIA222066"
100,"Moonlight Patchouli","supplier code","FRAG_0100","Moonlight Patchouli","mL",6000,6000,6,"FIA250555"
101,"Miami Woods","supplier code","FRAG_0101","Miami Woods","mL",-6800,89400,121,"FIA242633"
102,"Noel","supplier code","FRAG_0102","Noel","mL",47000,47000,45,"FIA250025"
103,"New Hope","supplier code","FRAG_0103","New Hope","mL",31000,31000,37,"FIA223464"
104,"Native B","supplier code","FRAG_0104","Native B","mL",34600,33300,35.5,"FIA223766"
105,"Noir","supplier code","FRAG_0105","Noir ","mL",49400,47400,50,"FIA213480"
106,"New CBD Perth d3","supplier code","FRAG_0106","New CBD Perth d3","mL",25000,25000,30,"FIA251440"
107,"Orange & Bergamot","supplier code","FRAG_0107","Orange & Bergamot","mL",17000,17000,17.5,"LUX0598"
108,"Oz Design Signature","supplier code","FRAG_0108","Oz Design Signature","mL",25500,25050,26,"LUX1726"
109,"Orange Grass","supplier code","FRAG_0109","Orange Grass","mL",9000,9000,10,"SFA1578"
110,"Orchidee Narco","supplier code","FRAG_0110","Orchidee Narco","mL",23100,23100,26,"LUX1129"
111,"Orange B","supplier code","FRAG_0111","Orange B","mL",21000,21000,20,"FIA231256"
112,"Oud","supplier code","FRAG_0113","Oud","mL",35700,35300,37,"FIA250823"
113,"Premiere","supplier code","FRAG_0114","Premiere","mL",56100,56100,57,"SLC2486"
114,"Park Hyatt Peony (Hyatt Peony)","supplier code","FRAG_0115","Park Hyatt Peony (Hyatt Peony)","mL",63000,58800,63,"WO0031095 (29234)"
115,"Patisserie","supplier code","FRAG_0116","Patisserie","mL",149850,133650,138,"LUX696"
116,"Peppermint","supplier code","FRAG_0117","Peppermint","mL",11200,11200,11,"LUX0774"
117,"Pepperwood","supplier code","FRAG_0118","Pepperwood","mL",191350,194650,170,"FIA223424"
118,"Porsche","supplier code","FRAG_0119","Porsche","mL",5900,5900,6,"FIA232165"
119,"Quercers","supplier code","FRAG_0120","Querces","mL",202700,200900,170,"LUX0736"
120,"Rosemary & Cinnamon Blend","supplier code","FRAG_0121","Rosemary & Cinnamon Blend","mL",3500,3500,0,"EBSAMRC2A"
121,"Rosewater","supplier code","FRAG_0122","Rosewater","mL",5000,5000,4,"SLC2644"
122,"Rainstorm","name","FRAG_0123","Rainstorm","mL",4600,3600,5,"-"
123,"Resurrection (Essential Oil)","supplier code","FRAG_0124","Resurrection (Essential Oil)","mL",7500,7500,15,"FIA243524"
124,"Rose Diptyque","supplier code","FRAG_0125","Rose Diptyque","mL",17000,17000,15,"FIA231309"
125,"Review","supplier code","FRAG_0126","Review","mL",13000,13000,0,"FIA241706"
126,"Rock N Roll","supplier code","FRAG_0127","Rock N Roll","mL",21200,21200,24,"LUX0906A"
127,"Rottnest Island Summertime B","supplier code","FRAG_0128","Rottnest Island Summertime B","mL",7000,7000,12,"FIA241283"
128,"Summer Vacay","supplier code","FRAG_0129","Summer Vacay","mL",13800,10800,14,"FIA241782"
129,"Saffron","supplier code","FRAG_0130","Saffron","mL",20622,19622,18,"FIA260780"
130,"Special Santal","name","FRAG_0132","Special Santal","mL",28000,28000,28,"SLC2775 or Special"
131,"Sea Salt","name","FRAG_0133","Sea Salt","mL",8000,8000,10,"-"
132,"Signature","supplier code","FRAG_0134","Signature","mL",19000,19000,32,"FIA260650"
133,"Sugar Cookie","supplier code","FRAG_0135","Sugar Cookie","mL",12300,12300,12,"LUX13933"
134,"Sensual Woods","supplier code","FRAG_0136","Sensual Woods","mL",153300,161800,138,"Lux864"
135,"Santal 33 Style A (Black)","supplier code","FRAG_0137","Santal 33 Style A (Black)","mL",134450,306550,299,"FIA211503"
136,"Santal 66 (Blue) - KIRRI","supplier code","FRAG_0138","Santal 66 (Blue) - KIRRI","mL",1300,2000,0,"6132781"
137,"Serpentine Comme Des","supplier code","FRAG_0139","Serpentine Comme Des","mL",45100,44100,44,"FIA221947"
138,"Santal and White Tea","supplier code","FRAG_0140","Santal and White Tea","mL",50750,81750,67,"FIA241193"
139,"Sandalwood B","supplier code","FRAG_0141","Sandalwood B","mL",131150,124650,132,"FIA231155"
140,"Santal, Mahogany & Sandalwood","supplier code","FRAG_0142","Santal, Mahogany & Sandalwood","mL",2000,2000,5,"FIA241192"
141,"Santal, Mahogany & Soft Floral","supplier code","FRAG_0143","Santal, Mahogany & Soft Floral","mL",1000,1000,0,"FIA252221"
142,"Sandalwood Fig & Jasmine","supplier code","FRAG_0144","Sandalwood Fig & Jasmine","mL",3000,3000,3,"FIA243579"
143,"Sandalwood & Hint of Jasmin","supplier code","FRAG_0145","Sandalwood & Hint of Jasmin","mL",19000,19000,25,"FIA243577"
144,"TF Ambitious","supplier code","FRAG_0146","TF Ambitious ","mL",5600,5600,5,"LUX 750"
145,"The Rouge","supplier code","FRAG_0147","The Rouge","mL",5600,5600,9,"SFA1416"
146,"Teak & Neroli","name","FRAG_0148","Teak & Neroli","mL",6400,6400,6,"-"
147,"The Blanc","supplier code","FRAG_0149","The Blanc","mL",17000,17000,15,"Lux628"
148,"Tabac Noir","supplier code","FRAG_0150","Tabac Noir","mL",29300,29300,29,"SFA1375"
149,"Tropical Cruise","supplier code","FRAG_0151","Tropical Cruise","mL",26000,26000,20,"SFA1209"
150,"Tea Time","supplier code","FRAG_0152","Tea Time","mL",8000,8000,8,"SLC2631"
151,"The Star Azure","supplier code","FRAG_0153","The Star Azure","mL",1000,1000,2,"FIA250835"
152,"Tuberose Vanille","supplier code","FRAG_0154","Tuberose Vanille","mL",19000,19000,20,"FIA241278"
153,"The Star Lobby","supplier code","FRAG_0155","The Star Lobby","mL",10000,10000,10,"FIA250836"
154,"Terre","supplier code","FRAG_0156","Terre","mL",25200,24130,30,"FIA250461"
155,"Ultimate Leather","supplier code","FRAG_0157","Ultimate Leather","mL",5000,5000,7,"SFA1227"
156,"Vetiver, Water Lily + Sandalwood","supplier code","FRAG_0158","Vetiver, Water Lily + Sandalwood","mL",17000,17000,37,"FIA230295"
157,"Vetiver D'Hiver","supplier code","FRAG_0159","Vetiver D'Hiver","mL",20850,17850,15,"FIA221547"
