product_code,fragrance,supplier_code,unit,before_ml,counted_ml,after_ml,change_ml,before_L,counted_L,after_L,change_L,technician_stock_cleared_ml,status
"FRAG_0016","Blue Bergamot","6133475",mL,11251,3000,3000,-8251,11.3,3.0,3.0,-8.3,0,"adjusted"
"FRAG_0020","Blonde Woods & Cashmere","AA171829",mL,51600,44000,44000,-7600,51.6,44.0,44.0,-7.6,0,"adjusted"
"FRAG_0141","Sandalwood B","FIA231155",mL,124650,132000,132000,7350,124.7,132.0,132.0,7.3,10000,"adjusted"
"FRAG_0145","Sandalwood & Hint of Jasmin","FIA243577",mL,19000,25000,26000,7000,19.0,25.0,26.0,7.0,0,"adjusted"
"FRAG_0011","Aqua Positano","FIA241035",mL,38250,45000,45000,6750,38.3,45.0,45.0,6.8,0,"adjusted"
"FRAG_0042","Campfire","FIA230279",mL,16000,19500,22500,6500,16.0,19.5,22.5,6.5,0,"adjusted"
"FRAG_0074","Home Department","FIA250611",mL,7000,7000,12900,5900,7.0,7.0,12.9,5.9,0,"adjusted"
"FRAG_0156","Terre","FIA250461",mL,24130,30000,30000,5870,24.1,30.0,30.0,5.9,0,"adjusted"
"FRAG_0034","Christmas Night Xmas Pudding"," WO0028199 -20267 ",mL,31700,32000,37400,5700,31.7,32.0,37.4,5.7,0,"adjusted"
"FRAG_0085","Kiwi Coconut Vanilla","FIA230965",mL,30500,25000,25000,-5500,30.5,25.0,25.0,-5.5,0,"adjusted"
"FRAG_0143","Santal, Mahogany & Soft Floral","FIA252221",mL,1000,0,-4500,-5500,1.0,0.0,-4.5,-5.5,0,"adjusted"
"FRAG_0165","Waterplants","LUX0737",mL,15200,10000,10000,-5200,15.2,10.0,10.0,-5.2,0,"adjusted"
"FRAG_0095","Mahogany Fig","LUX1281",mL,64100,60000,59000,-5100,64.1,60.0,59.0,-5.1,0,"adjusted"
"FRAG_0013","Bois Secret","LUX0929",mL,37300,33000,32300,-5000,37.3,33.0,32.3,-5.0,0,"adjusted"
"FRAG_0036","Clinique Happy","LUX1186",mL,16000,13000,11000,-5000,16.0,13.0,11.0,-5.0,15000,"adjusted"
"FRAG_0106","New CBD Perth d3","FIA251440",mL,25000,30000,30000,5000,25.0,30.0,30.0,5.0,0,"adjusted"
"FRAG_0001","Armani Woods","FIA231902",mL,4000,9000,8900,4900,4.0,9.0,8.9,4.9,0,"adjusted"
"FRAG_0059","Flower Bomb","FIA213960",mL,13300,18000,18000,4700,13.3,18.0,18.0,4.7,0,"adjusted"
"FRAG_0019","Blue Ice","FIA221772",mL,40250,37000,36000,-4250,40.3,37.0,36.0,-4.3,0,"adjusted"
"FRAG_0163","Wild Lily & Spring Moss","LUX1234",mL,14200,10000,10000,-4200,14.2,10.0,10.0,-4.2,0,"adjusted"
